name,age,birth,gender,mail,phone,store
Abe Masanori,48,1974/11/1,Male,masanoriabe@example.co.jp,0969-80-0581,Asaka
Akiba Kyouichi,37,1986/2/9,Male,kyouichiakiba@example.org,0564-92-3587,Asaka
Amanai Mamiko,76,1946/7/28,Female,amanai_mamiko@example.jp,0796-03-7857,Hakusan
Andou Akiko,80,1943/3/26,Female,,,
Andou Yasuhiro,20,2002/12/19,Male,yasuhiro_andou@example.com,042-445-2576,Itakura
Arai Akira,57,1966/3/6,Male,arai_36@example.com,0467-10-8610,Asaka
Arai Yuuko,75,1947/12/11,Female,arai_1211@example.com,,Akabane
Arakawa Atsushi,42,1980/6/9,Male,arakawa_atsushi@example.net,,Hakusan
Emura Takayuki,71,1951/11/6,Male,takayuki_emura@example.org,0569-88-5251,Akabane
Enomoto Mio,38,1985/3/20,Female,enomoto_320@example.com,0136-85-6932,Akabane
Fuchigami Yuuko,61,1961/11/12,Female,fuchigami_1112@example.com,0948-94-3759,Akabane
Fuchigami Yuuko,61,1961/11/12,Female,fuchigami_1112@example.com,0948-94-3759,Akabane
Fujioka Miwa,71,1951/12/1,Female,fujioka_miwa@example.co.jp,0254-29-4741,Hakusan
Fukunaga Ikumi,46,1976/9/28,Female,fukunaga_ikumi@example.com,03-2673-6195,hakusan
Fukushima Kenichi,56,1967/2/6,Male,kenichi_fukushima@example.net,03-7003-6172,Asaka
Furuya Hisaaki,41,1981/11/23,Male,furuya1123@example.org,0572-41-9672,Akabane
Hara Naomi,30,1993/1/16,Female,hara116@example.ne.jp,03-7367-9091,Akabane
Hatakeyama Shigeru,25,1998/2/7,Male,shigeruhatakeyama@example.org,0930-31-0714,Hakusan
Hatakeyama Shigeru,25,1998/2/7,Male,shigeruhatakeyama@example.org,0930-31-0714,Hakusan
Hayashi Haruna,52,1970/10/23,Female,hayashi_1023@example.org,03-1665-6427,Itakura
Hayashi Kazuyuki,33,1989/8/7,Male,hayashi_kazuyuki@example.co.jp,0466-50-8178,Akabane
Hirayama Noriko,22,2000/9/14,Female,hirayama_914@example.jp,0772-52-9866,Akabane
Honda Yuu,59,1964/2/13,Male,yuuhonda@example.co.jp,03-8210-6816,Asaka
Ide Dai,71,1951/10/21,Male,ide_dai@example.ne.jp,03-1675-2523,Akabane
Ikeda Satomi,54,1968/10/15,Female,,03-6714-7199,Akabane
Ikeda Yayoi,56,1967/2/4,Female,ikeda24@example.co.jp,0744-61-9389,Asaka
Imanishi Makoto,72,1951/3/8,Male,imanishi_38@example.org,0289-14-2278,Asaka
